cruise_id,date_gmt,dec_lat,dec_lon,station_id
WS15103,4/13/15,25.6398,-80.122,1
WS15103,4/13/15,25.6434,-80.0997,2
WS15103,4/13/15,25.6453,-80.0853,3
WS15103,4/13/15,25.6453,-80.0853,3
WS15103,4/13/15,25.6453,-80.0853,3
WS15103,4/13/15,25.3335,-80.2242,EK_IN
WS15103,4/13/15,25.3129,-80.1943,EK_MID
WS15103,4/13/15,25.1096,-80.3783,4
WS15103,4/13/15,25.0957,-80.3599,5
WS15103,4/13/15,25.0796,-80.3338,5.5
WS15103,4/13/15,25.0656,-80.3146,6
WS15103,4/13/15,25.0481,-80.2862,6.5
WS15103,4/13/15,25.005,-80.3789,MR
WS15103,4/13/15,25.005,-80.3789,MR
WS15103,4/13/15,24.8982,-80.5303,UK_OFF
WS15103,4/13/15,24.9206,-80.5473,UK_MID
WS15103,4/13/15,24.94,-80.5703,UK_IN
WS15103,4/13/15,24.8206,-80.7538,7
WS15103,4/13/15,24.7914,-80.7414,8
WS15103,4/13/15,24.7624,-80.7242,9
WS15103,4/13/15,24.7624,-80.7242,9
WS15103,4/13/15,24.7171,-80.6887,9.5
WS15103,4/13/15,24.7171,-80.6887,9.5
WS15103,4/13/15,24.7171,-80.6887,9.5
WS15103,4/13/15,24.7171,-80.6887,9.5
WS15103,4/13/15,24.7171,-80.6887,9.5
WS15103,4/13/15,24.783,-80.8633,10
WS15103,4/13/15,24.7533,-80.8459,11
WS15103,4/14/15,24.7115,-80.8301,12
WS15103,4/14/15,24.7115,-80.8301,12
WS15103,4/14/15,24.7016,-81.0304,13
WS15103,4/14/15,24.6753,-81.0235,14
WS15103,4/14/15,24.6436,-81.016,15
WS15103,4/14/15,24.5918,-80.9919,15.5
WS15103,4/14/15,24.6763,-81.2064,16
WS15103,4/14/15,24.6386,-81.1943,17
WS15103,4/14/15,24.5928,-81.421,19
WS15103,4/14/15,24.5731,-81.4187,20
WS15103,4/14/15,24.5372,-81.4183,21/LK
WS15103,4/14/15,24.5372,-81.4183,21/LK
