Cruise	Date (GMT)	Latitude Deg	Latitude Min	Latitude Decimal	Longitude Deg	Longitude Min	Longitude Decimal	Station
WS15103	4/13/2015	25	38.3900	25.6398	80	7.3200	-80.1220	1
WS15103	4/13/2015	25	38.6030	25.6434	80	5.9800	-80.0997	2
WS15103	4/13/2015	25	38.7170	25.6453	80	5.1200	-80.0853	3
WS15103	4/13/2015	25	38.7170	25.6453	80	5.1200	-80.0853	3
WS15103	4/13/2015	25	38.7170	25.6453	80	5.1200	-80.0853	3
WS15103	4/13/2015	25	20.0090	25.3335	80	13.4500	-80.2242	EK_IN
WS15103	4/13/2015	25	18.7710	25.3129	80	11.6580	-80.1943	EK_MID
WS15103	4/13/2015	25	6.5780	25.1096	80	22.6990	-80.3783	4
WS15103	4/13/2015	25	5.7440	25.0957	80	21.5920	-80.3599	5
WS15103	4/13/2015	25	4.7760	25.0796	80	20.0250	-80.3338	5.5
WS15103	4/13/2015	25	3.9380	25.0656	80	18.8780	-80.3146	6
WS15103	4/13/2015	25	2.8880	25.0481	80	17.1700	-80.2862	6.5
WS15103	4/13/2015	25	0.2990	25.0050	80	22.7320	-80.3789	MR
WS15103	4/13/2015	25	0.2990	25.0050	80	22.7320	-80.3789	MR
WS15103	4/13/2015	24	53.8925	24.8982	80	31.8208	-80.5303	UK_OFF
WS15103	4/13/2015	24	55.2380	24.9206	80	32.8360	-80.5473	UK_MID
WS15103	4/13/2015	24	56.4000	24.9400	80	34.2190	-80.5703	UK_IN
WS15103	4/13/2015	24	49.2370	24.8206	80	45.2280	-80.7538	7
WS15103	4/13/2015	24	47.4850	24.7914	80	44.4820	-80.7414	8
WS15103	4/13/2015	24	45.7430	24.7624	80	43.4490	-80.7242	9
WS15103	4/13/2015	24	45.7430	24.7624	80	43.4490	-80.7242	9
WS15103	4/13/2015	24	43.0280	24.7171	80	41.3220	-80.6887	9.5
WS15103	4/13/2015	24	43.0280	24.7171	80	41.3220	-80.6887	9.5
WS15103	4/13/2015	24	43.0280	24.7171	80	41.3220	-80.6887	9.5
WS15103	4/13/2015	24	43.0280	24.7171	80	41.3220	-80.6887	9.5
WS15103	4/13/2015	24	43.0280	24.7171	80	41.3220	-80.6887	9.5
WS15103	4/13/2015	24	46.9790	24.7830	80	51.8000	-80.8633	10
WS15103	4/13/2015	24	45.1990	24.7533	80	50.7560	-80.8459	11
WS15103	4/14/2015	24	42.6920	24.7115	80	49.8050	-80.8301	12
WS15103	4/14/2015	24	42.6920	24.7115	80	49.8050	-80.8301	12
WS15103	4/14/2015	24	42.0960	24.7016	81	1.8260	-81.0304	13
WS15103	4/14/2015	24	40.5170	24.6753	81	1.4110	-81.0235	14
WS15103	4/14/2015	24	38.6170	24.6436	81	0.9600	-81.0160	15
WS15103	4/14/2015	24	35.5090	24.5918	80	59.5140	-80.9919	15.5
WS15103	4/14/2015	24	40.5760	24.6763	81	12.3840	-81.2064	16
WS15103	4/14/2015	24	38.3150	24.6386	81	11.6600	-81.1943	17
WS15103	4/14/2015	24	35.5700	24.5928	81	25.2580	-81.4210	19
WS15103	4/14/2015	24	34.3870	24.5731	81	25.1240	-81.4187	20
WS15103	4/14/2015	24	32.2340	24.5372	81	25.1000	-81.4183	21/LK
WS15103	4/14/2015	24	32.2340	24.5372	81	25.1000	-81.4183	21/LK
WS15103	4/14/2015	24	28.9930	24.4832	81	23.4200	-81.3903	21.5
WS15103	4/14/2015	24	28.5520	24.4759	81	43.0000	-81.7167	WS
WS15103	4/14/2015	24	28.5520	24.4759	81	43.0000	-81.7167	WS
WS15103	4/14/2015	24	23.7940	24.3966	81	49.8080	-81.8301	22.5
WS15103	4/14/2015	24	27.3080	24.4551	81	49.7020	-81.8284	22
WS15103	4/14/2015	24	29.3250	24.4888	81	49.7140	-81.8286	23
WS15103	4/14/2015	24	31.9490	24.5325	81	48.7150	-81.8119	24
WS15103	4/14/2015	25	24.2490	25.4042	82	12.7020	-82.2117	30
WS15103	4/14/2015	25	24.2490	25.4042	82	12.7020	-82.2117	30
WS15103	4/14/2015	25	34.6690	25.5778	82	4.7060	-82.0784	30.5
WS15103	4/15/2015	25	44.6420	25.7440	81	56.7040	-81.9451	31
WS15103	4/15/2015	25	52.4040	25.8734	81	49.9870	-81.8331	32
WS15103	4/15/2015	25	54.8300	25.9138	81	48.0150	-81.8003	33
WS15103	4/15/2015	25	56.9800	25.9497	81	46.0150	-81.7669	34
WS15103	4/15/2015	25	39.3600	25.6560	81	43.2420	-81.7207	42
WS15103	4/15/2015	25	44.0520	25.7342	81	34.6180	-81.5770	41
WS15103	4/15/2015	25	45.4880	25.7581	81	31.3691	-81.5228	40
WS15103	4/15/2015	25	34.9820	25.5830	81	28.2620	-81.4710	45
WS15103	4/15/2015	25	35.0207	25.5837	81	24.2960	-81.4049	46
WS15103	4/15/2015	25	35.0290	25.5838	81	22.0690	-81.3678	47
WS15103	4/15/2015	25	35.0020	25.5834	81	19.7040	-81.3284	48
WS15103	4/15/2015	25	27.0830	25.4514	81	21.0280	-81.3505	50
WS15103	4/15/2015	25	27.2030	25.4534	81	18.3560	-81.3059	51
WS15103	4/15/2015	25	27.1970	25.4533	81	15.3850	-81.2564	52
WS15103	4/15/2015	25	27.2140	25.4536	81	13.4760	-81.2246	53
WS15103	4/15/2015	25	20.4970	25.3416	81	9.2620	-81.1544	54
WS15103	4/15/2015	25	21.0080	25.3501	81	11.6040	-81.1934	55
WS15103	4/15/2015	25	21.0580	25.3510	81	13.6990	-81.2283	56
WS15103	4/15/2015	25	21.0780	25.3513	81	15.9830	-81.2664	57
WS15103	4/15/2015	25	21.1130	25.3519	81	20.2420	-81.3374	57.1
WS15103	4/15/2015	25	21.0990	25.3517	81	29.5100	-81.4918	57.2
WS15103	4/15/2015	25	21.0790	25.3513	81	39.2030	-81.6534	57.3
WS15103	4/15/2015	25	10.0410	25.1674	81	39.3480	-81.6558	58
WS15103	4/15/2015	25	10.0410	25.1674	81	39.3480	-81.6558	58
WS15103	4/15/2015	25	10.1030	25.1684	81	29.6760	-81.4946	59
WS15103	4/15/2015	25	9.9880	25.1665	81	20.0010	-81.3334	60
WS15103	4/15/2015	25	9.9910	25.1665	81	16.4300	-81.2738	61
